num_hecho,dia_ocu,mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,areag_ocu,sexo_pil,edad_fall,g_edad,edad_m1,tipo_vehi,color_vehi,modelo_vehi,causa_acc
821,7,Diciembre,Lunes,4,Izabal,Rural,Mujer,32,35-39,Mayor,Camioneta,Gris,2006,Empotro
822,7,Diciembre,Lunes,4,Izabal,Rural,Mujer,40,40-44,Mayor,Camioneta,Gris,2006,Empotro
823,7,Diciembre,Lunes,4,Izabal,Rural,Mujer,9,15-19,Menor,Camioneta,Gris,2006,Empotro
99,14,Febrero,Sábado,4,Guatemala,Urbano,Hombre,30,35-39,Mayor,Motocicleta,Rojo,IGNORADO,Empotro
762,25,Octubre,Domingo,4,El Progreso,Rural,Hombre,16,25-29,Menor,Pick up,Rojo,IGNORADO,Empotro
816,5,Diciembre,Sábado,4,Izabal,Rural,Hombre,37,40-44,Mayor,Pick up,Rojo,IGNORADO,Colisión
866,25,Diciembre,Viernes,4,Petén,Rural,Hombre,24,30-34,Mayor,Motocicleta,Rojo,IGNORADO,Colisión
373,26,Mayo,Martes,4,Guatemala,Urbano,Hombre,30,35-39,Mayor,Motocicleta,Gris,IGNORADO,Empotro
774,5,Noviembre,Jueves,4,Guatemala,Urbano,Hombre,26,35-39,Mayor,Bus urbano,Gris,IGNORADO,Colisión
861,24,Diciembre,Jueves,4,Guatemala,Urbano,Hombre,20,30-34,Mayor,Pick up,Verde,IGNORADO,Empotro
862,24,Diciembre,Jueves,4,Guatemala,Urbano,Hombre,19,25-29,Mayor,Pick up,Verde,IGNORADO,Empotro
166,5,Marzo,Jueves,4,Jalapa,Rural,Hombre,17,25-29,Menor,Motocicleta,Anaranjado,IGNORADO,Embarranco
96,12,Febrero,Jueves,4,Guatemala,Rural,Hombre,30,35-39,Mayor,Motocicleta,Ignorado,IGNORADO,Empotro
255,9,Abril,Jueves,4,Baja Verapaz,Rural,Hombre,22,30-34,Mayor,Ignorado,Ignorado,IGNORADO,Embarranco
280,16,Abril,Jueves,4,San Marcos,Rural,Hombre,27,35-39,Mayor,Pick up,Ignorado,IGNORADO,Embarranco
804,1,Diciembre,Martes,5,Quiché,Rural,Hombre,9,15-19,Menor,Camión,Blanco,1994,Volco
805,1,Diciembre,Martes,5,Quiché,Rural,Hombre,13,20-24,Menor,Camión,Blanco,1994,Volco
806,1,Diciembre,Martes,5,Quiché,Rural,Hombre,13,20-24,Menor,Camión,Blanco,1994,Volco
842,18,Diciembre,Viernes,5,El Progreso,Rural,Hombre,61,50-54,Mayor,Pick up,Blanco,1999,Empotro
202,16,Marzo,Lunes,5,Suchitepéquez,Rural,Hombre,34,35-39,Mayor,Motocicleta,Azul,2005,Colisión
494,18,Julio,Sábado,5,Quiché,Rural,Hombre,24,30-34,Mayor,Pick up,Negro,2006,Embarranco
219,24,Marzo,Martes,5,Izabal,Rural,Mujer,36,40-44,Mayor,Motocicleta,Rojo,IGNORADO,Colisión
220,24,Marzo,Martes,5,Izabal,Rural,Mujer,8,15-19,Menor,Motocicleta,Rojo,IGNORADO,Colisión
749,20,Octubre,Martes,5,Escuintla,Rural,Hombre,26,35-39,Mayor,Camión,Rojo,IGNORADO,Volco
868,28,Diciembre,Lunes,5,Jutiapa,Rural,Hombre,23,30-34,Mayor,Camión,Blanco,IGNORADO,Colisión
869,28,Diciembre,Lunes,5,Jutiapa,Rural,Hombre,23,30-34,Mayor,Camión,Blanco,IGNORADO,Colisión
870,28,Diciembre,Lunes,5,Jutiapa,Rural,Hombre,10,20-24,Menor,Camión,Blanco,IGNORADO,Colisión
871,28,Diciembre,Lunes,5,Jutiapa,Rural,Hombre,19,25-29,Mayor,Camión,Blanco,IGNORADO,Colisión
872,28,Diciembre,Lunes,5,Jutiapa,Rural,Mujer,17,25-29,Menor,Camión,Blanco,IGNORADO,Colisión
873,28,Diciembre,Lunes,5,Jutiapa,Rural,Hombre,38,40-44,Mayor,Camión,Blanco,IGNORADO,Colisión
